Time,Day-ahead Price [EUR/MWh]
2018-10-01 11:00:00,100.0
2018-10-03 11:00:00,80.61
2018-10-16 11:00:00,70.0
2018-10-22 11:00:00,90.0
2018-10-30 11:00:00,90.0
2018-11-02 11:00:00,75.0
2018-11-09 11:00:00,58.0
2018-11-18 11:00:00,66.0
2018-11-28 11:00:00,53.0
2018-11-29 11:00:00,70.0
2018-11-30 11:00:00,64.84
2018-12-12 11:00:00,102.2
2018-12-16 11:00:00,74.06
2019-01-09 11:00:00,116.0
2019-01-10 11:00:00,95.0
2019-01-13 11:00:00,53.17
2019-01-15 11:00:00,70.14
2019-01-16 11:00:00,71.07
2019-01-26 11:00:00,53.17
2019-01-31 11:00:00,71.07
2019-02-03 11:00:00,57.0
2019-02-05 11:00:00,63.0
2019-02-08 11:00:00,55.0
2019-02-09 11:00:00,53.0
2019-02-10 11:00:00,58.0
2019-02-17 11:00:00,49.79
2019-02-19 11:00:00,59.0
2019-02-23 11:00:00,47.8
2019-02-24 11:00:00,51.65
2019-02-27 11:00:00,75.0
2019-03-12 11:00:00,59.0
2019-03-16 11:00:00,45.67
2019-03-18 11:00:00,50.0
2019-03-21 11:00:00,55.06
2019-03-26 11:00:00,62.0
2019-03-28 11:00:00,65.0
2019-03-29 11:00:00,50.89
2019-04-02 11:00:00,60.0
2019-04-03 11:00:00,47.04
2019-04-05 11:00:00,48.55
2019-04-11 11:00:00,104.0
2019-04-13 11:00:00,48.53
2019-04-18 11:00:00,49.79
2019-04-20 11:00:00,65.52
2019-04-22 11:00:00,42.33
2019-04-24 11:00:00,54.51
2019-04-27 11:00:00,32.0
2019-05-06 11:00:00,47.04
2019-05-09 11:00:00,53.0
2019-05-12 11:00:00,57.0
2019-05-17 11:00:00,60.01
2019-05-19 11:00:00,48.14
2019-05-21 11:00:00,63.0
2019-05-23 11:00:00,100.0
2019-05-25 11:00:00,90.0
2019-05-28 11:00:00,52.0
2019-06-04 11:00:00,66.0
2019-06-07 11:00:00,84.0
2019-06-09 11:00:00,48.14
2019-06-14 11:00:00,125.0
2019-06-21 11:00:00,44.39
2019-06-30 11:00:00,41.82
2019-07-01 11:00:00,34.68
2019-07-07 11:00:00,48.08
2019-07-10 11:00:00,62.0
2019-07-15 11:00:00,98.0
2019-07-16 11:00:00,110.0
2019-07-24 11:00:00,45.0
2019-07-25 11:00:00,48.53
2019-07-29 11:00:00,105.0
2019-07-31 11:00:00,81.0
2019-08-03 11:00:00,52.98
2019-08-04 11:00:00,49.67
2019-08-07 11:00:00,51.0
2019-08-11 11:00:00,45.0
2019-08-17 11:00:00,35.0
2019-08-20 11:00:00,81.0
2019-08-21 11:00:00,40.08
2019-08-26 11:00:00,100.0
2019-09-02 11:00:00,44.15
2019-09-04 11:00:00,32.0
2019-09-14 11:00:00,46.14
2019-09-16 11:00:00,75.32
2019-09-19 11:00:00,80.0
2019-09-25 11:00:00,52.0
2019-09-27 11:00:00,48.08
2019-10-08 11:00:00,39.0
2019-10-09 11:00:00,46.11
2019-10-13 11:00:00,50.33
2019-10-20 11:00:00,43.12
2019-10-24 11:00:00,50.89
2019-10-25 11:00:00,87.0
2019-10-31 11:00:00,45.98
2019-11-09 11:00:00,50.43
2019-11-14 11:00:00,51.0
2019-11-15 11:00:00,47.8
2019-11-19 11:00:00,62.0
2019-11-21 11:00:00,51.0
2019-11-27 11:00:00,80.0
2019-11-29 11:00:00,61.0
2019-11-30 11:00:00,46.73
2019-12-02 11:00:00,115.0
2019-12-06 11:00:00,51.0
2019-12-10 11:00:00,39.0
2019-12-13 11:00:00,48.55
2019-12-17 11:00:00,75.0
2019-12-19 11:00:00,50.43
2019-12-20 11:00:00,90.0
2019-12-21 11:00:00,51.65
2019-12-24 11:00:00,60.0
2019-12-25 11:00:00,50.33
2019-12-28 11:00:00,44.15
2020-01-01 11:00:00,45.67
2020-01-02 11:00:00,44.0
2020-01-11 11:00:00,36.17
2020-01-12 11:00:00,49.67
2020-01-14 11:00:00,43.12
2020-01-18 11:00:00,45.98
2020-01-21 11:00:00,75.0
2020-01-22 11:00:00,80.48
2020-01-31 11:00:00,46.0
2020-02-02 11:00:00,35.0
2020-02-12 11:00:00,55.39
2020-02-14 11:00:00,27.0
2020-02-23 11:00:00,39.0
2020-02-29 11:00:00,35.0
2020-03-07 11:00:00,25.0
2020-03-13 11:00:00,52.98
2020-03-17 11:00:00,34.68
2020-04-02 11:00:00,25.0
2020-04-09 11:00:00,34.0
2020-04-16 11:00:00,31.22
2020-04-19 11:00:00,29.0
2020-05-03 11:00:00,32.0
2020-05-07 11:00:00,29.0
2020-06-03 11:00:00,25.0
2020-06-04 11:00:00,31.22
2020-06-11 11:00:00,27.0
2020-06-13 11:00:00,35.0
2020-06-22 11:00:00,29.0
2020-07-12 11:00:00,27.0
2020-07-14 11:00:00,34.0
2020-07-22 11:00:00,34.0
2020-08-01 11:00:00,40.82
2020-08-06 11:00:00,40.08
2020-08-09 11:00:00,40.82
2020-08-11 11:00:00,46.73
2020-08-14 11:00:00,48.55
2020-08-16 11:00:00,41.82
2020-08-18 11:00:00,44.39
2020-08-22 11:00:00,36.17
2020-08-31 11:00:00,55.0
2020-09-07 11:00:00,44.98
2020-09-13 11:00:00,25.0
2020-09-17 11:00:00,52.29
2020-09-21 11:00:00,75.0
2020-09-23 11:00:00,61.0
2020-09-24 11:00:00,46.11
2020-10-01 11:00:00,100.0
2020-10-02 11:00:00,54.51
2020-10-04 11:00:00,25.0
2020-10-06 11:00:00,55.39
2020-10-14 11:00:00,55.0
2020-10-15 11:00:00,140.0
2020-10-22 11:00:00,87.0
2020-11-04 11:00:00,60.0
2020-11-12 11:00:00,44.98
2020-11-16 11:00:00,46.0
2020-11-19 11:00:00,65.0
2020-11-21 11:00:00,52.29
2020-11-23 11:00:00,47.04
2020-11-24 11:00:00,46.14
2020-11-30 11:00:00,55.06
2020-12-15 11:00:00,60.01
2020-12-20 11:00:00,55.0
2020-12-21 11:00:00,65.52
2020-12-28 11:00:00,44.0
2021-01-05 11:00:00,79.0
2021-01-11 11:00:00,62.0
2021-01-13 11:00:00,90.0
2021-01-16 11:00:00,65.0
2021-01-20 11:00:00,90.0
2021-01-23 11:00:00,87.0
2021-02-06 11:00:00,70.14
2021-02-09 11:00:00,74.06
2021-02-13 11:00:00,60.0
2021-02-18 11:00:00,62.0
2021-02-22 11:00:00,84.0
2021-03-02 11:00:00,99.0
2021-03-05 11:00:00,80.61
2021-03-07 11:00:00,89.0
2021-03-09 11:00:00,64.84
2021-03-13 11:00:00,65.0
2021-03-14 11:00:00,65.0
2021-03-15 11:00:00,85.89
2021-03-16 11:00:00,89.0
2021-03-17 11:00:00,80.1
2021-03-18 11:00:00,79.0
2021-03-19 11:00:00,98.0
2021-03-26 11:00:00,59.0
2021-03-27 11:00:00,65.0
2021-04-02 11:00:00,75.32
2021-04-05 11:00:00,45.0
2021-04-09 11:00:00,143.0
2021-04-14 11:00:00,129.0
2021-04-19 11:00:00,81.0
2021-04-21 11:00:00,89.0
2021-04-27 11:00:00,80.48
2021-05-01 11:00:00,199.0
2021-05-03 11:00:00,42.33
2021-05-07 11:00:00,175.0
