Time,Day-ahead Price [EUR/MWh]
2018-10-01 11:00:00,100.0
2018-10-02 11:00:00,72.22
2018-10-03 11:00:00,80.61
2018-10-04 11:00:00,71.6
2018-10-05 11:00:00,80.55
2018-10-06 11:00:00,103.46
2018-10-07 11:00:00,71.15
2018-10-08 11:00:00,71.11
2018-10-09 11:00:00,63.07
2018-10-10 11:00:00,74.46
2018-10-11 11:00:00,74.21
2018-10-12 11:00:00,64.54
2018-10-13 11:00:00,89.51
2018-10-14 11:00:00,85.81
2018-10-15 11:00:00,111.61
2018-10-16 11:00:00,70.0
2018-10-17 11:00:00,80.14
2018-10-18 11:00:00,92.97
2018-10-19 11:00:00,80.74
2018-10-20 11:00:00,81.48
2018-10-21 11:00:00,77.01
2018-10-22 11:00:00,90.0
2018-10-23 11:00:00,73.4
2018-10-24 11:00:00,78.96
2018-10-25 11:00:00,101.57
2018-10-26 11:00:00,82.82
2018-10-27 11:00:00,73.56
2018-10-28 11:00:00,72.65
2018-10-29 11:00:00,66.44
2018-10-30 11:00:00,90.0
2018-10-31 11:00:00,84.82
2018-11-01 11:00:00,82.89
2018-11-02 11:00:00,75.0
2018-11-03 11:00:00,57.82
2018-11-04 11:00:00,72.33
2018-11-05 11:00:00,82.59
2018-11-06 11:00:00,55.03
2018-11-07 11:00:00,74.43
2018-11-08 11:00:00,62.79
2018-11-09 11:00:00,58.0
2018-11-10 11:00:00,75.06
2018-11-11 11:00:00,66.57
2018-11-12 11:00:00,69.1
2018-11-13 11:00:00,69.76
2018-11-14 11:00:00,62.22
2018-11-15 11:00:00,66.6
2018-11-16 11:00:00,72.36
2018-11-17 11:00:00,67.67
2018-11-18 11:00:00,66.0
2018-11-19 11:00:00,77.57
2018-11-20 11:00:00,69.19
2018-11-21 11:00:00,72.7
2018-11-22 11:00:00,85.93
2018-11-23 11:00:00,93.7
2018-11-24 11:00:00,77.26
2018-11-25 11:00:00,73.52
2018-11-26 11:00:00,94.81
2018-11-27 11:00:00,68.69
2018-11-28 11:00:00,53.0
2018-11-29 11:00:00,70.0
2018-11-30 11:00:00,64.84
2018-12-01 11:00:00,79.71
2018-12-02 11:00:00,70.46
2018-12-03 11:00:00,89.4
2018-12-04 11:00:00,123.74
2018-12-05 11:00:00,73.88
2018-12-06 11:00:00,65.44
2018-12-07 11:00:00,65.59
2018-12-08 11:00:00,67.0
2018-12-09 11:00:00,67.04
2018-12-10 11:00:00,85.23
2018-12-11 11:00:00,63.22
2018-12-12 11:00:00,102.2
2018-12-13 11:00:00,62.2
2018-12-14 11:00:00,77.97
2018-12-15 11:00:00,72.78
2018-12-16 11:00:00,74.06
2018-12-17 11:00:00,76.88
2018-12-18 11:00:00,71.89
