"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"01.01.2023 00:00 - 01.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2492","n/e","n/e"
"01.01.2023 01:00 - 01.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1394","n/e","n/e"
"01.01.2023 02:00 - 01.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1491","n/e","n/e"
"01.01.2023 03:00 - 01.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1615","n/e","n/e"
"01.01.2023 04:00 - 01.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1625","n/e","n/e"
"01.01.2023 05:00 - 01.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1585","n/e","n/e"
"01.01.2023 06:00 - 01.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1521","n/e","n/e"
"01.01.2023 07:00 - 01.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1434","n/e","n/e"
"01.01.2023 08:00 - 01.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1373","n/e","n/e"
"01.01.2023 09:00 - 01.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1332","n/e","n/e"
"01.01.2023 10:00 - 01.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1301","n/e","n/e"
"01.01.2023 11:00 - 01.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1274","n/e","n/e"
"01.01.2023 12:00 - 01.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1237","n/e","n/e"
"01.01.2023 13:00 - 01.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1211","n/e","n/e"
"01.01.2023 14:00 - 01.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1221","n/e","n/e"
"01.01.2023 15:00 - 01.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1221","n/e","n/e"
"01.01.2023 16:00 - 01.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1185","n/e","n/e"
"01.01.2023 17:00 - 01.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1135","n/e","n/e"
"01.01.2023 18:00 - 01.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1085","n/e","n/e"
"01.01.2023 19:00 - 01.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","992","n/e","n/e"
"01.01.2023 20:00 - 01.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","841","n/e","n/e"
"01.01.2023 21:00 - 01.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","689","n/e","n/e"
"01.01.2023 22:00 - 01.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","592","n/e","n/e"
"01.01.2023 23:00 - 02.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","543","n/e","n/e"
"02.01.2023 00:00 - 02.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","522","n/e","n/e"
"02.01.2023 01:00 - 02.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","162","n/e","n/e"
"02.01.2023 02:00 - 02.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","134","n/e","n/e"
"02.01.2023 03:00 - 02.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","125","n/e","n/e"
"02.01.2023 04:00 - 02.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","155","n/e","n/e"
"02.01.2023 05:00 - 02.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","159","n/e","n/e"
"02.01.2023 06:00 - 02.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","158","n/e","n/e"
"02.01.2023 07:00 - 02.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","168","n/e","n/e"
"02.01.2023 08:00 - 02.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","187","n/e","n/e"
"02.01.2023 09:00 - 02.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","233","n/e","n/e"
"02.01.2023 10:00 - 02.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","325","n/e","n/e"
"02.01.2023 11:00 - 02.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","466","n/e","n/e"
"02.01.2023 12:00 - 02.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","629","n/e","n/e"
"02.01.2023 13:00 - 02.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","788","n/e","n/e"
"02.01.2023 14:00 - 02.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","989","n/e","n/e"
"02.01.2023 15:00 - 02.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1243","n/e","n/e"
"02.01.2023 16:00 - 02.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1538","n/e","n/e"
"02.01.2023 17:00 - 02.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1909","n/e","n/e"
"02.01.2023 18:00 - 02.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2324","n/e","n/e"
"02.01.2023 19:00 - 02.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2758","n/e","n/e"
"02.01.2023 20:00 - 02.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","3169","n/e","n/e"
"02.01.2023 21:00 - 02.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3550","n/e","n/e"
"02.01.2023 22:00 - 02.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3887","n/e","n/e"
"02.01.2023 23:00 - 03.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","4142","n/e","n/e"
"03.01.2023 00:00 - 03.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4242","n/e","n/e"
"03.01.2023 01:00 - 03.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3865","n/e","n/e"
"03.01.2023 02:00 - 03.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","3700","n/e","n/e"
"03.01.2023 03:00 - 03.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","3570","n/e","n/e"
