Time,Wind Offshore  [MW] Day Ahead
01/01/2018,2158.083333
02/01/2018,2236.125
03/01/2018,2715.5
04/01/2018,1274.583333
05/01/2018,464.0833333
06/01/2018,1435.125
07/01/2018,726.7916667
08/01/2018,1427.75
09/01/2018,2133.958333
10/01/2018,306
11/01/2018,298.75
12/01/2018,2559.958333
13/01/2018,1310.5
14/01/2018,1614.875
15/01/2018,2436.708333
16/01/2018,2859.333333
17/01/2018,2651.541667
18/01/2018,2158.083333
19/01/2018,1970.041667
20/01/2018,725.8333333
21/01/2018,1935.041667
22/01/2018,1526.166667
23/01/2018,2565.5
24/01/2018,2888.875
25/01/2018,2270.166667
26/01/2018,1135.291667
27/01/2018,2232.916667
28/01/2018,2720.583333
29/01/2018,1357.75
30/01/2018,1208.958333
31/01/2018,2957.5
01/02/2018,2564.416667
02/02/2018,949.2083333
03/02/2018,2209.958333
04/02/2018,767.375
05/02/2018,389.3333333
06/02/2018,1962.125
07/02/2018,925
08/02/2018,1042.916667
09/02/2018,1747.583333
10/02/2018,2082.5
11/02/2018,2267.666667
12/02/2018,2010.458333
13/02/2018,1686.708333
14/02/2018,2613.625
15/02/2018,2344.458333
16/02/2018,1843.791667
17/02/2018,614.75
18/02/2018,863.2083333
19/02/2018,846.2083333
20/02/2018,616.5
21/02/2018,245.2916667
22/02/2018,1164.125
23/02/2018,2394.208333
24/02/2018,1990.083333
25/02/2018,1956
26/02/2018,1813.541667
27/02/2018,1051.833333
28/02/2018,2074.875
01/03/2018,2831.375
02/03/2018,2959.958333
03/03/2018,2010.833333
04/03/2018,1042.458333
05/03/2018,137.2083333
06/03/2018,283.0416667
07/03/2018,995.2083333
08/03/2018,798.2916667
09/03/2018,954
10/03/2018,1610
11/03/2018,551.3333333
12/03/2018,640.0833333
13/03/2018,1203.833333
14/03/2018,2991.916667
15/03/2018,1597.166667
16/03/2018,1025.041667
17/03/2018,2195.375
18/03/2018,2342.5
19/03/2018,1204.291667
20/03/2018,176.7916667
21/03/2018,1142
22/03/2018,2153.833333
23/03/2018,1231.708333
24/03/2018,532.0416667
25/03/2018,229.173913
26/03/2018,922.173913
27/03/2018,1969.166667
28/03/2018,776.3333333
29/03/2018,424.9166667
30/03/2018,746.375
31/03/2018,498.375
01/04/2018,1275.875
02/04/2018,1590.791667
03/04/2018,931.4583333
04/04/2018,1694.166667
05/04/2018,1510.791667
06/04/2018,2595.875
07/04/2018,346.875
08/04/2018,196.375
09/04/2018,482.6666667
10/04/2018,1104.125
11/04/2018,321.625
12/04/2018,443.4583333
13/04/2018,150.625
14/04/2018,1265.666667
15/04/2018,2555.833333
16/04/2018,2711.25
17/04/2018,2972.958333
18/04/2018,2592.541667
19/04/2018,957.7083333
20/04/2018,419.5416667
21/04/2018,500.375
22/04/2018,1393.75
23/04/2018,1583.333333
24/04/2018,906.375
25/04/2018,2022.208333
26/04/2018,1384.5
27/04/2018,364.0833333
28/04/2018,120.9583333
29/04/2018,161.875
30/04/2018,210.9583333
01/05/2018,1642.833333
02/05/2018,1562.416667
03/05/2018,1160.166667
04/05/2018,714.625
05/05/2018,940.2083333
06/05/2018,477.6666667
07/05/2018,621.7916667
