MTU (CET/CEST),Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)
01.01.2018 00:00 - 01.01.2018 01:00,2528.0
01.01.2018 01:00 - 01.01.2018 02:00,2473.0
01.01.2018 02:00 - 01.01.2018 03:00,2351.0
01.01.2018 03:00 - 01.01.2018 04:00,2195.0
01.01.2018 04:00 - 01.01.2018 05:00,2030.0
01.01.2018 05:00 - 01.01.2018 06:00,1917.0
01.01.2018 06:00 - 01.01.2018 07:00,1897.0
01.01.2018 07:00 - 01.01.2018 08:00,1914.0
01.01.2018 08:00 - 01.01.2018 09:00,2119.0
01.01.2018 09:00 - 01.01.2018 10:00,2380.0
01.01.2018 10:00 - 01.01.2018 11:00,2621.0
01.01.2018 11:00 - 01.01.2018 12:00,2819.0
01.01.2018 12:00 - 01.01.2018 13:00,2897.0
01.01.2018 13:00 - 01.01.2018 14:00,2888.0
01.01.2018 14:00 - 01.01.2018 15:00,2789.0
01.01.2018 15:00 - 01.01.2018 16:00,2716.0
01.01.2018 16:00 - 01.01.2018 17:00,2585.0
01.01.2018 17:00 - 01.01.2018 18:00,2356.0
01.01.2018 18:00 - 01.01.2018 19:00,2082.0
01.01.2018 19:00 - 01.01.2018 20:00,1726.0
01.01.2018 20:00 - 01.01.2018 21:00,1425.0
01.01.2018 21:00 - 01.01.2018 22:00,1195.0
01.01.2018 22:00 - 01.01.2018 23:00,1017.0
01.01.2018 23:00 - 02.01.2018 00:00,874.0
02.01.2018 00:00 - 02.01.2018 01:00,794.0
02.01.2018 01:00 - 02.01.2018 02:00,820.0
02.01.2018 02:00 - 02.01.2018 03:00,900.0
02.01.2018 03:00 - 02.01.2018 04:00,1094.0
02.01.2018 04:00 - 02.01.2018 05:00,1456.0
02.01.2018 05:00 - 02.01.2018 06:00,1925.0
02.01.2018 06:00 - 02.01.2018 07:00,2361.0
02.01.2018 07:00 - 02.01.2018 08:00,2626.0
02.01.2018 08:00 - 02.01.2018 09:00,2801.0
02.01.2018 09:00 - 02.01.2018 10:00,2766.0
02.01.2018 10:00 - 02.01.2018 11:00,2689.0
02.01.2018 11:00 - 02.01.2018 12:00,2605.0
02.01.2018 12:00 - 02.01.2018 13:00,2520.0
02.01.2018 13:00 - 02.01.2018 14:00,2256.0
02.01.2018 14:00 - 02.01.2018 15:00,2151.0
02.01.2018 15:00 - 02.01.2018 16:00,2116.0
02.01.2018 16:00 - 02.01.2018 17:00,2253.0
02.01.2018 17:00 - 02.01.2018 18:00,2564.0
02.01.2018 18:00 - 02.01.2018 19:00,2693.0
02.01.2018 19:00 - 02.01.2018 20:00,2723.0
02.01.2018 20:00 - 02.01.2018 21:00,2786.0
02.01.2018 21:00 - 02.01.2018 22:00,2865.0
02.01.2018 22:00 - 02.01.2018 23:00,2920.0
02.01.2018 23:00 - 03.01.2018 00:00,2983.0
