Time,Load Forecast,Actual Load
01/01/2018,3003.583333,3029.6875
02/01/2018,3640.854167,3744.604167
03/01/2018,3808.104167,3666.625
04/01/2018,2887.5625,3101.1875
05/01/2018,3378.270833,3342.958333
06/01/2018,3131.458333,3157.770833
07/01/2018,2616.395833,2721.583333
08/01/2018,3100.5,3088.020833
09/01/2018,2911.604167,2966.270833
10/01/2018,3352.25,3259.291667
11/01/2018,3605.541667,3599.208333
12/01/2018,3573.916667,3400.979167
13/01/2018,3273.395833,3398.729167
14/01/2018,3102.604167,3257.083333
15/01/2018,3529.145833,3597.895833
16/01/2018,3631.833333,3813.9375
17/01/2018,3722.854167,3831.770833
18/01/2018,3686.645833,3727.895833
19/01/2018,3633.708333,3709.979167
20/01/2018,3353.791667,3466.270833
21/01/2018,3170.541667,3308.458333
22/01/2018,3611.229167,3586.4375
23/01/2018,3658.604167,3577.916667
24/01/2018,3643.979167,3649.541667
25/01/2018,3685.666667,3705.5
26/01/2018,3591.0625,3649.375
27/01/2018,3285.666667,3339.1875
28/01/2018,3090.666667,3191.895833
29/01/2018,3514.833333,3541.1875
30/01/2018,3610.4375,3683.5625
31/01/2018,3626.0625,3725.708333
01/02/2018,3108.770833,3433.5625
02/02/2018,3567.104167,3702.916667
03/02/2018,3781.625,3404.791667
04/02/2018,2923.8125,3214.9375
05/02/2018,3377.020833,3317.0625
06/02/2018,2848.8125,2899.145833
07/02/2018,2994.979167,3064.020833
08/02/2018,3114.958333,3136.5625
09/02/2018,2797.75,2794.895833
10/02/2018,3408.375,3319.333333
11/02/2018,3622.166667,3645.1875
12/02/2018,3416.041667,3239.791667
13/02/2018,3708.916667,3763.0625
14/02/2018,3671.625,3748.520833
15/02/2018,3657.916667,3745.083333
16/02/2018,3597.5625,3707.6875
17/02/2018,3228.791667,3384.020833
18/02/2018,3044.895833,3222.104167
19/02/2018,3506,3530.479167
20/02/2018,3637.375,3618.75
21/02/2018,3612.395833,3678.395833
22/02/2018,3577.041667,3663.5
23/02/2018,3569.291667,3685.604167
24/02/2018,3263.520833,3444.729167
25/02/2018,3083.4375,3298.979167
26/02/2018,3552.645833,3791.833333
27/02/2018,3664.270833,3883.895833
28/02/2018,3659.375,3888.791667
01/03/2018,3712.354167,3615.166667
02/03/2018,3291.145833,3420.8125
03/03/2018,3457.583333,3424.333333
04/03/2018,3356.041667,3445.770833
05/03/2018,3359.166667,3360.020833
06/03/2018,2701.916667,2718.375
07/03/2018,3065.416667,3135.875
08/03/2018,3079.291667,3123.041667
09/03/2018,3141.625,3047.9375
10/03/2018,3410.166667,3347.875
11/03/2018,3325.458333,3332.75
12/03/2018,3831.1875,3535.583333
